2026-07-28T14:56:44  Connected: Agilent Technologies,E5071B,MY42402473,A.09.10
2026-07-28T14:56:45  ========================================================================
2026-07-28T14:56:45  Drift modeling replication  |  3.5 h  |  started 2026-07-28 14:56:45
2026-07-28T14:56:45  Params: S11 | Quantities: Mag (dB),Phase (deg)
2026-07-28T14:56:45  Points: 401 | 500.000 MHz to 3.000 GHz | IFBW 1000 Hz
2026-07-28T14:56:45  Sampling period: 0s | estimated sweep time: 0.67s | VISA timeout: 20s
2026-07-28T14:56:45  Expected: ~18773 sweeps, ~603.1 MB of CSV (148.9 GB free)
2026-07-28T14:56:45  Ends at ~2026-07-28 18:26:45 (or press q / Ctrl+C / close the plot)
2026-07-28T14:56:45  CSV: C:\Users\shiha\OneDrive\Desktop\Internships\EMpact Lab\VNA Drift Modeling Analysis\vna\data\drift_20260728_145615.csv
2026-07-28T14:56:45  Log: C:\Users\shiha\OneDrive\Desktop\Internships\EMpact Lab\VNA Drift Modeling Analysis\vna\data\drift_20260728_145615.log
2026-07-28T14:56:45  NOTE: the output folder is inside OneDrive, which will try to sync the CSV while it grows. Consider --outdir on a local disk for long runs.
2026-07-28T14:56:45  ========================================================================
2026-07-28T14:56:45  Tracking 2.9375 GHz for the drift trace.
2026-07-28T14:56:45  [  0.0%] sweep 1 | 0h00m00s elapsed, 3h29m59s left | errors 0 reconnects 0 | 26.9 KB
2026-07-28T16:27:15  [ 43.1%] sweep 8655 | 1h30m30s elapsed, 1h59m29s left | errors 0 reconnects 0 | 245.5 MB
2026-07-28T16:27:45  [ 43.3%] sweep 8703 | 1h31m00s elapsed, 1h58m59s left | errors 0 reconnects 0 | 246.9 MB
2026-07-28T16:28:15  [ 43.6%] sweep 8751 | 1h31m30s elapsed, 1h58m29s left | errors 0 reconnects 0 | 248.3 MB
2026-07-28T16:28:45  [ 43.8%] sweep 8799 | 1h32m00s elapsed, 1h57m59s left | errors 0 reconnects 0 | 249.6 MB
2026-07-28T16:29:16  [ 44.1%] sweep 8847 | 1h32m30s elapsed, 1h57m29s left | errors 0 reconnects 0 | 251.0 MB
2026-07-28T16:29:46  [ 44.3%] sweep 8895 | 1h33m01s elapsed, 1h56m58s left | errors 0 reconnects 0 | 252.4 MB
2026-07-28T16:30:16  [ 44.5%] sweep 8944 | 1h33m31s elapsed, 1h56m28s left | errors 0 reconnects 0 | 253.8 MB
2026-07-28T16:30:47  [ 44.8%] sweep 8993 | 1h34m02s elapsed, 1h55m57s left | errors 0 reconnects 0 | 255.2 MB
2026-07-28T16:31:17  [ 45.0%] sweep 9041 | 1h34m32s elapsed, 1h55m27s left | errors 0 reconnects 0 | 256.5 MB
2026-07-28T16:31:47  [ 45.3%] sweep 9090 | 1h35m02s elapsed, 1h54m57s left | errors 0 reconnects 0 | 257.9 MB
2026-07-28T16:32:18  [ 45.5%] sweep 9139 | 1h35m33s elapsed, 1h54m26s left | errors 0 reconnects 0 | 259.3 MB
2026-07-28T16:32:48  [ 45.7%] sweep 9187 | 1h36m03s elapsed, 1h53m56s left | errors 0 reconnects 0 | 260.7 MB
2026-07-28T16:33:19  [ 46.0%] sweep 9236 | 1h36m33s elapsed, 1h53m26s left | errors 0 reconnects 0 | 262.1 MB
2026-07-28T16:33:49  [ 46.2%] sweep 9284 | 1h37m04s elapsed, 1h52m55s left | errors 0 reconnects 0 | 263.4 MB
2026-07-28T16:34:19  [ 46.5%] sweep 9332 | 1h37m34s elapsed, 1h52m25s left | errors 0 reconnects 0 | 264.8 MB
2026-07-28T16:34:49  [ 46.7%] sweep 9380 | 1h38m04s elapsed, 1h51m55s left | errors 0 reconnects 0 | 266.2 MB
2026-07-28T16:35:19  [ 46.9%] sweep 9428 | 1h38m34s elapsed, 1h51m25s left | errors 0 reconnects 0 | 267.5 MB
2026-07-28T16:35:49  [ 47.2%] sweep 9476 | 1h39m04s elapsed, 1h50m55s left | errors 0 reconnects 0 | 268.9 MB
2026-07-28T16:36:19  [ 47.4%] sweep 9524 | 1h39m34s elapsed, 1h50m25s left | errors 0 reconnects 0 | 270.3 MB
2026-07-28T16:36:49  [ 47.7%] sweep 9572 | 1h40m04s elapsed, 1h49m55s left | errors 0 reconnects 0 | 271.6 MB
2026-07-28T16:37:19  [ 47.9%] sweep 9620 | 1h40m34s elapsed, 1h49m25s left | errors 0 reconnects 0 | 273.0 MB
2026-07-28T16:37:50  [ 48.1%] sweep 9669 | 1h41m04s elapsed, 1h48m55s left | errors 0 reconnects 0 | 274.4 MB
2026-07-28T16:38:20  [ 48.4%] sweep 9717 | 1h41m34s elapsed, 1h48m25s left | errors 0 reconnects 0 | 275.8 MB
2026-07-28T16:38:50  [ 48.6%] sweep 9765 | 1h42m04s elapsed, 1h47m55s left | errors 0 reconnects 0 | 277.1 MB
2026-07-28T16:39:20  [ 48.9%] sweep 9814 | 1h42m35s elapsed, 1h47m24s left | errors 0 reconnects 0 | 278.5 MB
2026-07-28T16:39:51  [ 49.1%] sweep 9863 | 1h43m06s elapsed, 1h46m53s left | errors 0 reconnects 0 | 279.9 MB
2026-07-28T16:40:21  [ 49.3%] sweep 9912 | 1h43m36s elapsed, 1h46m23s left | errors 0 reconnects 0 | 281.3 MB
2026-07-28T16:40:52  [ 49.6%] sweep 9961 | 1h44m07s elapsed, 1h45m52s left | errors 0 reconnects 0 | 282.7 MB
2026-07-28T16:41:22  [ 49.8%] sweep 10009 | 1h44m37s elapsed, 1h45m22s left | errors 0 reconnects 0 | 284.1 MB
2026-07-28T16:41:53  [ 50.1%] sweep 10058 | 1h45m08s elapsed, 1h44m51s left | errors 0 reconnects 0 | 285.5 MB
2026-07-28T16:42:23  [ 50.3%] sweep 10107 | 1h45m38s elapsed, 1h44m21s left | errors 0 reconnects 0 | 286.9 MB
2026-07-28T16:42:53  [ 50.5%] sweep 10155 | 1h46m08s elapsed, 1h43m51s left | errors 0 reconnects 0 | 288.3 MB
2026-07-28T16:43:23  [ 50.8%] sweep 10203 | 1h46m38s elapsed, 1h43m21s left | errors 0 reconnects 0 | 289.7 MB
2026-07-28T16:43:53  [ 51.0%] sweep 10251 | 1h47m08s elapsed, 1h42m51s left | errors 0 reconnects 0 | 291.0 MB
2026-07-28T16:44:23  [ 51.3%] sweep 10299 | 1h47m38s elapsed, 1h42m21s left | errors 0 reconnects 0 | 292.4 MB
2026-07-28T16:44:53  [ 51.5%] sweep 10347 | 1h48m08s elapsed, 1h41m51s left | errors 0 reconnects 0 | 293.8 MB
2026-07-28T16:45:23  [ 51.7%] sweep 10395 | 1h48m38s elapsed, 1h41m21s left | errors 0 reconnects 0 | 295.2 MB
2026-07-28T16:45:54  [ 52.0%] sweep 10443 | 1h49m08s elapsed, 1h40m51s left | errors 0 reconnects 0 | 296.6 MB
2026-07-28T16:46:24  [ 52.2%] sweep 10492 | 1h49m39s elapsed, 1h40m20s left | errors 0 reconnects 0 | 298.0 MB
2026-07-28T16:46:54  [ 52.5%] sweep 10540 | 1h50m09s elapsed, 1h39m50s left | errors 0 reconnects 0 | 299.4 MB
2026-07-28T16:47:24  [ 52.7%] sweep 10588 | 1h50m39s elapsed, 1h39m20s left | errors 0 reconnects 0 | 300.8 MB
2026-07-28T16:47:54  [ 52.9%] sweep 10636 | 1h51m09s elapsed, 1h38m50s left | errors 0 reconnects 0 | 302.2 MB
2026-07-28T16:48:24  [ 53.2%] sweep 10684 | 1h51m39s elapsed, 1h38m20s left | errors 0 reconnects 0 | 303.5 MB
2026-07-28T16:48:54  [ 53.4%] sweep 10732 | 1h52m09s elapsed, 1h37m50s left | errors 0 reconnects 0 | 304.9 MB
2026-07-28T16:49:25  [ 53.6%] sweep 10780 | 1h52m39s elapsed, 1h37m20s left | errors 0 reconnects 0 | 306.3 MB
2026-07-28T16:49:55  [ 53.9%] sweep 10828 | 1h53m09s elapsed, 1h36m50s left | errors 0 reconnects 0 | 307.7 MB
2026-07-28T16:50:25  [ 54.1%] sweep 10876 | 1h53m39s elapsed, 1h36m20s left | errors 0 reconnects 0 | 309.1 MB
2026-07-28T16:50:55  [ 54.4%] sweep 10924 | 1h54m10s elapsed, 1h35m49s left | errors 0 reconnects 0 | 310.5 MB
2026-07-28T16:51:25  [ 54.6%] sweep 10972 | 1h54m40s elapsed, 1h35m19s left | errors 0 reconnects 0 | 311.8 MB
2026-07-28T16:51:55  [ 54.8%] sweep 11020 | 1h55m10s elapsed, 1h34m49s left | errors 0 reconnects 0 | 313.2 MB
2026-07-28T16:52:26  [ 55.1%] sweep 11069 | 1h55m40s elapsed, 1h34m19s left | errors 0 reconnects 0 | 314.6 MB
2026-07-28T16:52:56  [ 55.3%] sweep 11118 | 1h56m11s elapsed, 1h33m48s left | errors 0 reconnects 0 | 316.1 MB
2026-07-28T16:53:26  [ 55.6%] sweep 11166 | 1h56m41s elapsed, 1h33m18s left | errors 0 reconnects 0 | 317.4 MB
2026-07-28T16:53:57  [ 55.8%] sweep 11215 | 1h57m12s elapsed, 1h32m47s left | errors 0 reconnects 0 | 318.9 MB
2026-07-28T16:54:27  [ 56.0%] sweep 11263 | 1h57m42s elapsed, 1h32m17s left | errors 0 reconnects 0 | 320.2 MB
2026-07-28T16:54:57  [ 56.3%] sweep 11311 | 1h58m12s elapsed, 1h31m47s left | errors 0 reconnects 0 | 321.6 MB
2026-07-28T16:55:27  [ 56.5%] sweep 11359 | 1h58m42s elapsed, 1h31m17s left | errors 0 reconnects 0 | 323.0 MB
2026-07-28T16:55:57  [ 56.8%] sweep 11407 | 1h59m12s elapsed, 1h30m47s left | errors 0 reconnects 0 | 324.4 MB
2026-07-28T16:56:27  [ 57.0%] sweep 11455 | 1h59m42s elapsed, 1h30m17s left | errors 0 reconnects 0 | 325.8 MB
2026-07-28T16:56:58  [ 57.2%] sweep 11504 | 2h00m13s elapsed, 1h29m46s left | errors 0 reconnects 0 | 327.2 MB
2026-07-28T16:57:28  [ 57.5%] sweep 11552 | 2h00m43s elapsed, 1h29m16s left | errors 0 reconnects 0 | 328.6 MB
2026-07-28T16:57:58  [ 57.7%] sweep 11600 | 2h01m13s elapsed, 1h28m46s left | errors 0 reconnects 0 | 330.0 MB
2026-07-28T16:58:28  [ 58.0%] sweep 11648 | 2h01m43s elapsed, 1h28m16s left | errors 0 reconnects 0 | 331.4 MB
2026-07-28T16:58:58  [ 58.2%] sweep 11696 | 2h02m13s elapsed, 1h27m46s left | errors 0 reconnects 0 | 332.7 MB
2026-07-28T16:59:28  [ 58.4%] sweep 11744 | 2h02m43s elapsed, 1h27m16s left | errors 0 reconnects 0 | 334.1 MB
2026-07-28T16:59:59  [ 58.7%] sweep 11793 | 2h03m14s elapsed, 1h26m45s left | errors 0 reconnects 0 | 335.5 MB
2026-07-28T17:00:29  [ 58.9%] sweep 11841 | 2h03m44s elapsed, 1h26m15s left | errors 0 reconnects 0 | 336.9 MB
2026-07-28T17:00:59  [ 59.2%] sweep 11890 | 2h04m14s elapsed, 1h25m45s left | errors 0 reconnects 0 | 338.3 MB
2026-07-28T17:01:30  [ 59.4%] sweep 11938 | 2h04m44s elapsed, 1h25m15s left | errors 0 reconnects 0 | 339.7 MB
2026-07-28T17:02:00  [ 59.6%] sweep 11986 | 2h05m14s elapsed, 1h24m45s left | errors 0 reconnects 0 | 341.1 MB
2026-07-28T17:02:30  [ 59.9%] sweep 12034 | 2h05m44s elapsed, 1h24m15s left | errors 0 reconnects 0 | 342.5 MB
2026-07-28T17:03:00  [ 60.1%] sweep 12082 | 2h06m15s elapsed, 1h23m44s left | errors 0 reconnects 0 | 343.9 MB
2026-07-28T17:03:30  [ 60.4%] sweep 12130 | 2h06m45s elapsed, 1h23m14s left | errors 0 reconnects 0 | 345.3 MB
2026-07-28T17:04:00  [ 60.6%] sweep 12178 | 2h07m15s elapsed, 1h22m44s left | errors 0 reconnects 0 | 346.7 MB
2026-07-28T17:04:30  [ 60.8%] sweep 12226 | 2h07m45s elapsed, 1h22m14s left | errors 0 reconnects 0 | 348.0 MB
2026-07-28T17:05:00  [ 61.1%] sweep 12274 | 2h08m15s elapsed, 1h21m44s left | errors 0 reconnects 0 | 349.4 MB
2026-07-28T17:05:30  [ 61.3%] sweep 12322 | 2h08m45s elapsed, 1h21m14s left | errors 0 reconnects 0 | 350.8 MB
2026-07-28T17:06:00  [ 61.6%] sweep 12370 | 2h09m15s elapsed, 1h20m44s left | errors 0 reconnects 0 | 352.2 MB
2026-07-28T17:06:30  [ 61.8%] sweep 12418 | 2h09m45s elapsed, 1h20m14s left | errors 0 reconnects 0 | 353.6 MB
2026-07-28T17:07:01  [ 62.0%] sweep 12465 | 2h10m15s elapsed, 1h19m44s left | errors 0 reconnects 0 | 354.9 MB
2026-07-28T17:07:31  [ 62.3%] sweep 12513 | 2h10m45s elapsed, 1h19m14s left | errors 0 reconnects 0 | 356.3 MB
2026-07-28T17:08:01  [ 62.5%] sweep 12561 | 2h11m16s elapsed, 1h18m43s left | errors 0 reconnects 0 | 357.7 MB
2026-07-28T17:08:31  [ 62.7%] sweep 12609 | 2h11m46s elapsed, 1h18m13s left | errors 0 reconnects 0 | 359.1 MB
2026-07-28T17:09:01  [ 63.0%] sweep 12657 | 2h12m16s elapsed, 1h17m43s left | errors 0 reconnects 0 | 360.5 MB
2026-07-28T17:09:31  [ 63.2%] sweep 12706 | 2h12m46s elapsed, 1h17m13s left | errors 0 reconnects 0 | 361.9 MB
2026-07-28T17:10:01  [ 63.5%] sweep 12754 | 2h13m16s elapsed, 1h16m43s left | errors 0 reconnects 0 | 363.3 MB
2026-07-28T17:10:32  [ 63.7%] sweep 12802 | 2h13m46s elapsed, 1h16m13s left | errors 0 reconnects 0 | 364.7 MB
2026-07-28T17:11:02  [ 63.9%] sweep 12850 | 2h14m16s elapsed, 1h15m43s left | errors 0 reconnects 0 | 366.0 MB
2026-07-28T17:11:32  [ 64.2%] sweep 12898 | 2h14m47s elapsed, 1h15m12s left | errors 0 reconnects 0 | 367.4 MB
2026-07-28T17:12:02  [ 64.4%] sweep 12946 | 2h15m17s elapsed, 1h14m42s left | errors 0 reconnects 0 | 368.8 MB
2026-07-28T17:12:32  [ 64.7%] sweep 12994 | 2h15m47s elapsed, 1h14m12s left | errors 0 reconnects 0 | 370.2 MB
2026-07-28T17:13:02  [ 64.9%] sweep 13042 | 2h16m17s elapsed, 1h13m42s left | errors 0 reconnects 0 | 371.6 MB
2026-07-28T17:13:32  [ 65.1%] sweep 13090 | 2h16m47s elapsed, 1h13m12s left | errors 0 reconnects 0 | 373.0 MB
2026-07-28T17:14:02  [ 65.4%] sweep 13138 | 2h17m17s elapsed, 1h12m42s left | errors 0 reconnects 0 | 374.4 MB
2026-07-28T17:14:32  [ 65.6%] sweep 13186 | 2h17m47s elapsed, 1h12m12s left | errors 0 reconnects 0 | 375.7 MB
2026-07-28T17:15:02  [ 65.9%] sweep 13234 | 2h18m17s elapsed, 1h11m42s left | errors 0 reconnects 0 | 377.1 MB
2026-07-28T17:15:32  [ 66.1%] sweep 13282 | 2h18m47s elapsed, 1h11m12s left | errors 0 reconnects 0 | 378.5 MB
2026-07-28T17:16:02  [ 66.3%] sweep 13330 | 2h19m17s elapsed, 1h10m42s left | errors 0 reconnects 0 | 379.9 MB
2026-07-28T17:16:32  [ 66.6%] sweep 13378 | 2h19m47s elapsed, 1h10m12s left | errors 0 reconnects 0 | 381.3 MB
2026-07-28T17:17:02  [ 66.8%] sweep 13426 | 2h20m17s elapsed, 1h09m42s left | errors 0 reconnects 0 | 382.7 MB
2026-07-28T17:17:32  [ 67.0%] sweep 13474 | 2h20m47s elapsed, 1h09m12s left | errors 0 reconnects 0 | 384.1 MB
2026-07-28T17:18:03  [ 67.3%] sweep 13522 | 2h21m17s elapsed, 1h08m42s left | errors 0 reconnects 0 | 385.4 MB
2026-07-28T17:18:33  [ 67.5%] sweep 13570 | 2h21m47s elapsed, 1h08m12s left | errors 0 reconnects 0 | 386.8 MB
2026-07-28T17:19:03  [ 67.8%] sweep 13618 | 2h22m17s elapsed, 1h07m42s left | errors 0 reconnects 0 | 388.2 MB
2026-07-28T17:19:33  [ 68.0%] sweep 13666 | 2h22m48s elapsed, 1h07m11s left | errors 0 reconnects 0 | 389.6 MB
2026-07-28T17:20:03  [ 68.2%] sweep 13714 | 2h23m18s elapsed, 1h06m41s left | errors 0 reconnects 0 | 391.0 MB
2026-07-28T17:20:33  [ 68.5%] sweep 13762 | 2h23m48s elapsed, 1h06m11s left | errors 0 reconnects 0 | 392.4 MB
2026-07-28T17:21:03  [ 68.7%] sweep 13810 | 2h24m18s elapsed, 1h05m41s left | errors 0 reconnects 0 | 393.8 MB
2026-07-28T17:21:33  [ 69.0%] sweep 13858 | 2h24m48s elapsed, 1h05m11s left | errors 0 reconnects 0 | 395.1 MB
2026-07-28T17:22:03  [ 69.2%] sweep 13906 | 2h25m18s elapsed, 1h04m41s left | errors 0 reconnects 0 | 396.5 MB
2026-07-28T17:22:33  [ 69.4%] sweep 13954 | 2h25m48s elapsed, 1h04m11s left | errors 0 reconnects 0 | 397.9 MB
2026-07-28T17:23:03  [ 69.7%] sweep 14002 | 2h26m18s elapsed, 1h03m41s left | errors 0 reconnects 0 | 399.3 MB
2026-07-28T17:23:34  [ 69.9%] sweep 14050 | 2h26m48s elapsed, 1h03m11s left | errors 0 reconnects 0 | 400.7 MB
2026-07-28T17:24:04  [ 70.2%] sweep 14098 | 2h27m19s elapsed, 1h02m40s left | errors 0 reconnects 0 | 402.1 MB
2026-07-28T17:24:34  [ 70.4%] sweep 14146 | 2h27m49s elapsed, 1h02m10s left | errors 0 reconnects 0 | 403.4 MB
2026-07-28T17:25:04  [ 70.6%] sweep 14195 | 2h28m19s elapsed, 1h01m40s left | errors 0 reconnects 0 | 404.9 MB
2026-07-28T17:25:34  [ 70.9%] sweep 14243 | 2h28m49s elapsed, 1h01m10s left | errors 0 reconnects 0 | 406.2 MB
2026-07-28T17:26:05  [ 71.1%] sweep 14291 | 2h29m19s elapsed, 1h00m40s left | errors 0 reconnects 0 | 407.6 MB
2026-07-28T17:26:35  [ 71.3%] sweep 14339 | 2h29m49s elapsed, 1h00m10s left | errors 0 reconnects 0 | 409.0 MB
2026-07-28T17:27:05  [ 71.6%] sweep 14387 | 2h30m20s elapsed, 0h59m39s left | errors 0 reconnects 0 | 410.4 MB
2026-07-28T17:27:35  [ 71.8%] sweep 14435 | 2h30m50s elapsed, 0h59m09s left | errors 0 reconnects 0 | 411.8 MB
2026-07-28T17:28:05  [ 72.1%] sweep 14483 | 2h31m20s elapsed, 0h58m39s left | errors 0 reconnects 0 | 413.2 MB
2026-07-28T17:28:35  [ 72.3%] sweep 14531 | 2h31m50s elapsed, 0h58m09s left | errors 0 reconnects 0 | 414.6 MB
2026-07-28T17:29:05  [ 72.5%] sweep 14579 | 2h32m20s elapsed, 0h57m39s left | errors 0 reconnects 0 | 415.9 MB
2026-07-28T17:29:35  [ 72.8%] sweep 14627 | 2h32m50s elapsed, 0h57m09s left | errors 0 reconnects 0 | 417.3 MB
2026-07-28T17:30:06  [ 73.0%] sweep 14676 | 2h33m21s elapsed, 0h56m38s left | errors 0 reconnects 0 | 418.7 MB
2026-07-28T17:30:36  [ 73.3%] sweep 14724 | 2h33m51s elapsed, 0h56m08s left | errors 0 reconnects 0 | 420.1 MB
2026-07-28T17:31:06  [ 73.5%] sweep 14772 | 2h34m21s elapsed, 0h55m38s left | errors 0 reconnects 0 | 421.5 MB
2026-07-28T17:31:11    sweep 14778 failed: ConnectionResetError: [WinError 10054] An existing connection was forcibly closed by the remote host
2026-07-28T17:31:12    retry 1/10: reconnecting...
2026-07-28T17:31:12    sweep 14778 failed: VisaIOError: VI_ERROR_RSRC_NFOUND (-1073807343): Insufficient location information or the requested device or resource is not present in the system.
2026-07-28T17:31:14    retry 2/10: reconnecting...
2026-07-28T17:31:14    sweep 14778 failed: VisaIOError: VI_ERROR_RSRC_NFOUND (-1073807343): Insufficient location information or the requested device or resource is not present in the system.
2026-07-28T17:31:19    retry 3/10: reconnecting...
2026-07-28T17:31:19    sweep 14778 failed: VisaIOError: VI_ERROR_RSRC_NFOUND (-1073807343): Insufficient location information or the requested device or resource is not present in the system.
2026-07-28T17:31:29    retry 4/10: reconnecting...
2026-07-28T17:31:29    sweep 14778 failed: VisaIOError: VI_ERROR_RSRC_NFOUND (-1073807343): Insufficient location information or the requested device or resource is not present in the system.
2026-07-28T17:31:49    retry 5/10: reconnecting...
2026-07-28T17:31:49    sweep 14778 failed: VisaIOError: VI_ERROR_RSRC_NFOUND (-1073807343): Insufficient location information or the requested device or resource is not present in the system.
2026-07-28T17:32:19    retry 6/10: reconnecting...
2026-07-28T17:32:20    sweep 14778 failed: VisaIOError: VI_ERROR_RSRC_NFOUND (-1073807343): Insufficient location information or the requested device or resource is not present in the system.
2026-07-28T17:33:20    retry 7/10: reconnecting...
2026-07-28T17:33:20    sweep 14778 failed: VisaIOError: VI_ERROR_RSRC_NFOUND (-1073807343): Insufficient location information or the requested device or resource is not present in the system.
2026-07-28T17:34:20    retry 8/10: reconnecting...
2026-07-28T17:34:20    sweep 14778 failed: VisaIOError: VI_ERROR_RSRC_NFOUND (-1073807343): Insufficient location information or the requested device or resource is not present in the system.
2026-07-28T17:35:20    retry 9/10: reconnecting...
2026-07-28T17:35:20    sweep 14778 failed: VisaIOError: VI_ERROR_RSRC_NFOUND (-1073807343): Insufficient location information or the requested device or resource is not present in the system.
2026-07-28T17:36:20    retry 10/10: reconnecting...
2026-07-28T17:36:20    sweep 14778 failed: VisaIOError: VI_ERROR_RSRC_NFOUND (-1073807343): Insufficient location information or the requested device or resource is not present in the system.
2026-07-28T17:36:20  STOPPING: instrument unreachable, gave up retrying
2026-07-28T17:36:20  Warning: could not restore instrument setup: Invalid session handle. The resource might be closed.
2026-07-28T17:36:20  Done (instrument unreachable, gave up retrying). 14778 sweeps over 2h39m35s | errors 11 | reconnects 0 | slow sweeps 0
2026-07-28T17:36:20  Saved 421.7 MB to C:\Users\shiha\OneDrive\Desktop\Internships\EMpact Lab\VNA Drift Modeling Analysis\vna\data\drift_20260728_145615.csv
